Interaction Design Pattern	Situation (Use when)	Intention (Why)	Implementation (How)
Feature, Search, and Browse	Engage users with browsing and searching options.	Immediate user engagement and efficient navigation.	Prominently display search, feature engaging content, and organize categories effectively.
Streams and Feeds	Frequent content updates are essential, especially for news and social interaction platforms.	Ensures fresh content, promotes user engagement, supports collaboration.	Display items in reverse chronological order, offer personalization options, facilitate interaction, and adapt to mobile devices.
Media Browser	Presenting large collections of media or files.	Provides intuitive browsing, selection, and management of items.	Offer grid and single-item views, browsing interface with search, and customizable metadata options.
Dashboard	Users need quick access to key data and tasks.	Provides concise, customizable overview of vital information.	Identify user needs, prioritize data, use visual hierarchy and relevant patterns.
Settings Editor	Users need to adjust preferences, settings, or properties.	Provides easy access to manage application-wide or user-specific configurations.	Organize settings into intuitive categories, follow platform conventions, use familiar layout patterns, and consider immediate application or save options.
Alternative Views	Users have diverse preferences or need different perspectives on the same information.	Accommodates varied usage scenarios and user preferences.	Design specialized views, allow easy switching, preserve user state, and consider persistent preferences.
Many Workspaces	Users need to work on multiple tasks or compare different items simultaneously.	Facilitates multitasking, supports side-by-side comparisons, enhances productivity.	Use tabs, separate windows, panels, or split views to display multiple workspaces, allowing easy switching and customization.
Help Systems	Helping both new and experienced users with functionalities on the website and help with specific tasks.	"Users require varied support levels; comprehensive help ensures usability and accommodates different learning styles."	Offer lightweight help, such as tooltips, and comprehensive guides accessible within the application or separately.
Tags	Employ tags to enable content classification, browsing, sharing, and user-generated organization, especially in large information repositories.	Tags increase content relevance, user engagement, and platform retention. They also crowdsource organic content organization.	Implement tagging systems for users to classify content, integrate tag-based search functionality, and format tags as clickable links.
Visual Framework	Enhancing usability and brand recognition by mploying a visual framework for consistent layout and style across an app or site.	Consistency in color, font, layout, and navigation aids improves user experience and promotes brand recognition.	"Define shared characteristics such as layout, color, and typography; implement through CSS, Java classes, or visual system libraries for easy maintenance and adjustment."
Center Stage	Utilize Center Stage for interfaces focused on a single task or coherent information, emphasizing clarity and user engagement.	Directs user attention to primary content, reducing cognitive load and facilitating task completion.	Establish a clear visual hierarchy with primary content dominating, positioning it prominently within the UI. Positioning can vary based on conventions but isn't strictly defined.
Grid of Equals	Present numerous similar content items, like articles or products, for easy comparison and selection.	Establishes visual equality among items, aiding comparison and highlighting content semantics.	Design a common item template, arrange in a grid, maintain visual consistency, and ensure responsiveness.
Titled Sections	Organize abundant content into easily digestible sections for improved user scanning and comprehension.	Enhances readability and comprehension by visually segmenting content into coherent thematic or task-based sections.	"Define sections with strong, concise titles; visually separate them and ensure coherence. If necessary, reorganize content for clarity."
Module Tabs	Organize diverse content into coherent, tabbed modules, suitable for users who need to focus on one module at a time.	Effectively declutters interfaces, enhances user focus, and facilitates content organization, particularly for static sets of related modules.	Define coherent content chunks, assign short titles, indicate selected tabs clearly, and consider alternative tab placements for optimal usability.
Accordion	Organize diverse content into collapsible panels for efficient display, ideal for interfaces with limited space.	Enhances interface decluttering, enables easy content grouping, suitable for various interactive elements.	Define concise section titles, incorporate visual affordances, allow multiple modules open concurrently, preserve state between sessions.
Collapsible Panels	Organize supplementary content discretely for varied user needs, especially with heterogeneous or optional elements on the page.	Simplifies interface, implements progressive disclosure, declutters content, accommodates user preferences.	Encapsulate modules into panels with toggle controls, label accordingly, consider icons for clarity, use animations, adapt based on user behavior.
Movable Panels	Designing for customizable interfaces, especially in desktop applications or sign-in websites with diverse user interests and activities.	Enhances user efficiency, accommodates personal preferences, fosters engagement, supports future module integration.	Name and size modules, allow drag-and-drop repositioning, enable open/close actions, offer removal and addition functionalities.
Two-Panel Selector or Split View	Displaying a list of items with associated content, enabling quick browsing and selection without overwhelming users.	Established convention, facilitates efficient navigation, integrates list structure with item details seamlessly.	Arrange two panels side by side, list on one, details on the other. Make selection obvious, support keyboard navigation.
One-Window Drilldown	Mobile apps or websites with constrained space, presenting a list and item details, ensuring shallow UI hierarchy.	Maximizes available space, simplifies navigation, easy return to list view.	Display list, replace with item details on selection, provide back button for navigation.
List Inlay	Displaying a vertically oriented list with associated item details, enabling easy comparison of multiple items.	Shows item details within list context, allows simultaneous viewing of multiple items.	Display list in column, open item details in place, use animated transitions for clarity.
Cards	Displaying heterogeneous items with consistent behaviors, adaptable to various screen sizes.	Offers flexibility, familiarity, and consistency in presenting content across different devices.	"Design self-contained components with images, text, and actions; ensure readability and clarity across screen sizes."
Thumbnail Grid	Displaying small visual representations of items for quick scanning and selection in a grid layout.	Provides a dense, visually appealing overview suitable for rapid item recognition and selection.	Scale thumbnails uniformly, place metadata near them, process images for consistent presentation.
Carousel	Displaying visually identifiable items for casual browsing in a limited space, encouraging engagement and serendipitous exploration.	Engages users in visually inspecting items, offers compact browsing interface, encourages exploration, and provides focus plus context.	Create thumbnails, arrange horizontally, add arrows for scrolling, consider enlarging central item, animate scrolling, offer scrollbar.
Pagination	Displaying long lists, especially when loading entire list is impractical or slow, and users are likely to browse selectively.	Breaks list into manageable chunks, empowers user control, common web convention, easy implementation.	Determine items per page, design pagination controls, place at bottom or top for user convenience.
Jump to Item	When users need to quickly select an item from a long list using keyboard input.	Efficiently navigates long lists, reduces reliance on scrolling or clicking, enhances user experience.	Automatically scrolls to match user input, selects matching item, supports incremental typing for rapid selection.
Alpha/Numeric Scroller	When users need to quickly navigate a long list alphabetically or numerically.	Provides an interactive map for efficient navigation, akin to physical book tabs.	Display letters/numbers on scroll bar, allow clicking to scroll to corresponding point in list.
New-Item Row	In vertical interfaces with tables/lists, for efficient item creation without additional UI elements.	"Seamlessly integrates creation where items ""live,"" enhancing coherence, elegance, and user efficiency."	Enable easy initiation from empty row, edit columns for item setup, handle abandoned creations gracefully.
Button Groups	For organizing many related actions visibly on interfaces.	Clarifies interface, groups actions logically, adheres to Gestalt principles, enhances user understanding, and simplifies navigation.	Group related actions, use consistent graphic treatment, label appropriately, consider placement for visibility and hierarchy.
Hover or Pop-Up Tools	Many actions to show, preferring clean interface. Use Hover Tools for discoverability, keeping UI uncluttered yet accessible.	Reveals actions on demand, maintains clean UI, enhances discoverability, and offers natural interaction.	Hide actions until hovered, design with enough space, respond quickly, highlight hovered area if in list.
Action Panel	Many actions for items, not suitable for menus or pop-ups. Visibility, space, and freedom drive the choice.	Enhanced visibility, space utilization, and freedom of presentation compared to menus or buttons.	Allocate space, place near target, consider dynamic content, ensure easy access if closable.
Prominent “Done” Button or Assumed Next Step	Finalizing transactions, confirming choices.	Provides closure, guides users, enhances usability.	Create prominent button, place logically, label clearly.
Smart Menu Items	Contextual menu actions based on user selection.	Enhances usability, reduces errors, promotes safe exploration.	Dynamically update menu labels based on user context.
Preview	Before critical or complex actions, such as large file operations or online purchases, to prevent errors.	Prevents mistakes, enhances user understanding, provides assurance.	Display realistic previews of outcomes, offer options to proceed or modify.
Spinners and Loading Indicators	During time-consuming operations, preventing user impatience and maintaining task focus.	Indicates system activity, reduces user frustration, enhances patience.	Display animated progress indicators, provide status updates, offer cancel options if applicable.
Cancelability	During time-consuming or modal operations, ensuring user control and freedom.	Empowers users to halt or correct unintended or unwanted operations, supports safe exploration.	Offer a prominent Cancel button, ensure immediate cancellation with feedback, clarify cancellation targets for parallel operations.
Forgiving Format	When accepting user input with unpredictable formats or styles, maintaining a visually simple interface.	Simplifies user interaction by allowing flexible input, leveraging software to handle diverse inputs intelligently.	Analyze potential inputs, program intelligently to interpret variations, and test extensively with real users for validation.
Structured Format	For requesting specific, well-defined text input with consistent formats like credit card numbers or local phone numbers.	Provides clear input structure, reduces errors, and aids user understanding by breaking down data entry.	Design structured text fields reflecting the format, automate focus shifting, and optionally provide input prompts for clarity.
Fill-in-the-Blanks	For asking users to fill in one-line text, numbers, or choices when typical label/control pairs are unclear.	Enhances interface clarity, simplifies rule construction, and aids user understanding with contextual sentences.	Craft sentences carefully, place controls within text, align baselines, and consider localization challenges.
Input Hints	When a text field's required input isn't clear, and additional explanation beyond the label or text field is needed.	Provides clarity, reduces user guesswork, and offers context without cluttering the label.	Place short examples or sentences beside or below text fields, keeping hints concise and visually separated.
Input Prompt	When default values aren't feasible, Input Prompts guide users on what to input, enhancing clarity.	Enhances UI clarity, ensures user attention, differs from floating labels by focusing on user input.	Place instructional text or examples within input fields, disable actions until input is provided.
Autocompletion	Predictable inputs like URLs, names, or commands benefit from Autocompletion, enhancing efficiency and reducing errors.	Saves time, reduces cognitive load, prevents errors, and enhances user experience, especially on mobile devices.	Generate a list of possible completions as the user types, offer choices explicitly or automatically when there's only one logical completion.
Drop-down Chooser	For choices from sets, dates, or numbers, where space is limited but complex UI is necessary.	Encapsulates complex UI in small space, maintains simplicity, and provides familiar interaction.	"Display current value with down arrow, clicking opens panel with choices; compact design, familiar formats."
List Builder	Selecting items from a large source list to build a subset.	Provides clarity by showing both lists together, improving scalability and user understanding.	Display source and destination lists, use buttons or drag-and-drop for transfer, offer search and ordering functionalities.
Good Defaults and Smart Prefills	Completing form-like inputs to save user time.	Reduces user effort by providing reasonable default answers.	Prefill fields with data from session, account, location, or time, ensuring user relevance and comfort.
Error Messages	Form input errors occur, such as skipped fields or invalid data.	Helps users fix errors promptly, enhancing usability and preventing frustration.	Display messages on the form itself, near the problematic fields, with clear instructions for correction.